Material ID,Formula,Chemical System,Density,Volume,Number of Sites,Number of Elements,Crystal System,Space Group Number,Mean Atomic Mass,Volume per Atom
mp-733790,SiO2,Si-O,2.254998357567127,1061.8792044143463,72,2,Triclinic,1,20.028100000000002,14.748322283532588
mp-755043,Al2Si2O7,Si-Al-O,3.196720094430079,230.77112075448227,22,3,Monoclinic,15,20.1936252,10.489596397931011
mp-7648,SiO2,Si-O,2.148979200827146,185.71110886565558,12,2,Orthorhombic,20,20.0281,15.475925738804632
mp-772413,Al8SiO14,Si-Al-O,2.901802423257098,1071.0792141897593,92,3,Orthorhombic,62,20.34475690434783,11.642165371627819
mp-7905,SiO2,Si-O,2.342949645189757,85.16813648432405,6,2,Orthorhombic,72,20.0281,14.19468941405401
mp-8059,SiO2,Si-O,2.2473874776811256,355.1584355418974,24,2,Cubic,198,20.0281,14.798268147579059
mp-8352,SiO2,Si-O,1.9707343297772915,101.25396008094606,6,2,Cubic,227,20.0281,16.87566001349101
mp-8602,SiO2,Si-O,1.6747280149618162,2025.558244306005,102,2,Hexagonal,191,20.0281,19.858414159862793
mp-862998,Si2O5,Si-O,2.3328306979016746,193.8522878150404,14,2,Orthorhombic,46,19.452571428571428,13.8465919867886
mp-9258,SiO2,Si-O,4.415008882327144,90.39377291229376,12,2,Cubic,205,20.0281,7.532814409357813
mp-936187,SiO4,Si-O,2.0362895625081605,225.27383327878908,15,2,Triclinic,1,18.41662,15.018255551919273
mp-9515,Al2SiO5,Si-Al-O,3.868658143351877,139.10922181051302,16,3,Monoclinic,15,20.25569715,8.694326363157064
mp-9516,Al2SiO5,Si-Al-O,3.5437395110562657,151.86387771830758,16,3,Orthorhombic,63,20.25569715,9.491492357394224
mp-972808,SiO2,Si-O,2.3004191283391373,173.4854772325664,12,2,Monoclinic,4,20.0281,14.457123102713867
mp-985570,SiO2,Si-O,2.3577983813543613,338.52708821149986,24,2,Monoclinic,14,20.0281,14.105295342145828
mp-985590,SiO2,Si-O,2.122090946812149,376.12837556690044,24,2,Orthorhombic,58,20.0281,15.672015648620851
